device_id,room_id,building_id,device_type,count,rated_watts_each,controllable
BLK-A-F02-R02-FAN,BLK-A-F02-R02,BLK-A,fan,10,75.0,True
BLK-A-F02-R02-AC,BLK-A-F02-R02,BLK-A,ac,2,1650.0,True
BLK-A-F02-R02-COMPUTER,BLK-A-F02-R02,BLK-A,computer,1,180.0,True
BLK-A-F02-R02-PROJECTOR,BLK-A-F02-R02,BLK-A,projector,1,260.0,True
BLK-A-F02-R03-LIGHT,BLK-A-F02-R03,BLK-A,light,22,28.0,True
BLK-A-F02-R03-FAN,BLK-A-F02-R03,BLK-A,fan,11,75.0,True
BLK-A-F02-R03-AC,BLK-A-F02-R03,BLK-A,ac,2,1650.0,True
BLK-A-F02-R03-COMPUTER,BLK-A-F02-R03,BLK-A,computer,1,180.0,True
BLK-A-F02-R03-PROJECTOR,BLK-A-F02-R03,BLK-A,projector,1,260.0,True
BLK-A-F02-R04-LIGHT,BLK-A-F02-R04,BLK-A,light,21,28.0,True
BLK-A-F02-R04-FAN,BLK-A-F02-R04,BLK-A,fan,11,75.0,True
BLK-A-F02-R04-AC,BLK-A-F02-R04,BLK-A,ac,2,1650.0,True
BLK-A-F02-R04-COMPUTER,BLK-A-F02-R04,BLK-A,computer,1,180.0,True
BLK-A-F02-R04-PROJECTOR,BLK-A-F02-R04,BLK-A,projector,1,260.0,True
BLK-A-F03-R01-LIGHT,BLK-A-F03-R01,BLK-A,light,19,28.0,True
BLK-A-F03-R01-FAN,BLK-A-F03-R01,BLK-A,fan,10,75.0,True
BLK-A-F03-R01-AC,BLK-A-F03-R01,BLK-A,ac,2,1650.0,True
BLK-A-F03-R01-PROJECTOR,BLK-A-F03-R01,BLK-A,projector,1,260.0,True
BLK-A-F03-R02-LIGHT,BLK-A-F03-R02,BLK-A,light,23,28.0,True
BLK-A-F03-R02-FAN,BLK-A-F03-R02,BLK-A,fan,12,75.0,True
BLK-A-F03-R02-AC,BLK-A-F03-R02,BLK-A,ac,2,1650.0,True
BLK-A-F03-R02-PROJECTOR,BLK-A-F03-R02,BLK-A,projector,1,260.0,True
BLK-A-F03-R03-LIGHT,BLK-A-F03-R03,BLK-A,light,19,28.0,True
BLK-A-F03-R03-FAN,BLK-A-F03-R03,BLK-A,fan,10,75.0,True
BLK-A-F03-R03-AC,BLK-A-F03-R03,BLK-A,ac,2,1650.0,True
BLK-A-F03-R03-PROJECTOR,BLK-A-F03-R03,BLK-A,projector,1,260.0,True
BLK-A-F03-R04-LIGHT,BLK-A-F03-R04,BLK-A,light,16,28.0,True
BLK-A-F03-R04-FAN,BLK-A-F03-R04,BLK-A,fan,8,75.0,True
BLK-A-F03-R04-AC,BLK-A-F03-R04,BLK-A,ac,1,1650.0,True
BLK-A-F03-R04-COMPUTER,BLK-A-F03-R04,BLK-A,computer,1,180.0,True
BLK-A-F03-R04-PROJECTOR,BLK-A-F03-R04,BLK-A,projector,1,260.0,True
BLK-A-F04-R01-LIGHT,BLK-A-F04-R01,BLK-A,light,22,28.0,True
BLK-A-F04-R01-FAN,BLK-A-F04-R01,BLK-A,fan,11,75.0,True
BLK-A-F04-R01-AC,BLK-A-F04-R01,BLK-A,ac,2,1650.0,True
BLK-A-F04-R01-COMPUTER,BLK-A-F04-R01,BLK-A,computer,1,180.0,True
BLK-A-F04-R01-PROJECTOR,BLK-A-F04-R01,BLK-A,projector,1,260.0,True
BLK-A-F04-R02-LIGHT,BLK-A-F04-R02,BLK-A,light,18,28.0,True
BLK-A-F04-R02-FAN,BLK-A-F04-R02,BLK-A,fan,9,75.0,True
BLK-A-F04-R02-AC,BLK-A-F04-R02,BLK-A,ac,2,1650.0,True
BLK-A-F04-R02-COMPUTER,BLK-A-F04-R02,BLK-A,computer,1,180.0,True
BLK-A-F04-R02-PROJECTOR,BLK-A-F04-R02,BLK-A,projector,1,260.0,True
BLK-A-F04-R03-LIGHT,BLK-A-F04-R03,BLK-A,light,20,28.0,True
BLK-A-F04-R03-FAN,BLK-A-F04-R03,BLK-A,fan,10,75.0,True
BLK-A-F04-R03-AC,BLK-A-F04-R03,BLK-A,ac,2,1650.0,True
BLK-A-F04-R03-PROJECTOR,BLK-A-F04-R03,BLK-A,projector,1,260.0,True
BLK-A-F04-R04-LIGHT,BLK-A-F04-R04,BLK-A,light,19,28.0,True
BLK-A-F04-R04-FAN,BLK-A-F04-R04,BLK-A,fan,10,75.0,True
BLK-A-F04-R04-AC,BLK-A-F04-R04,BLK-A,ac,2,1650.0,True
BLK-A-F04-R04-PROJECTOR,BLK-A-F04-R04,BLK-A,projector,1,260.0,True
BLK-B-F01-R01-LIGHT,BLK-B-F01-R01,BLK-B,light,13,28.0,True
BLK-B-F01-R01-FAN,BLK-B-F01-R01,BLK-B,fan,7,75.0,True
BLK-B-F01-R01-AC,BLK-B-F01-R01,BLK-B,ac,1,1650.0,True
BLK-B-F01-R01-COMPUTER,BLK-B-F01-R01,BLK-B,computer,2,180.0,True
BLK-B-F01-R01-PROJECTOR,BLK-B-F01-R01,BLK-B,projector,1,260.0,True
BLK-B-F01-R02-LIGHT,BLK-B-F01-R02,BLK-B,light,20,28.0,True
BLK-B-F01-R02-FAN,BLK-B-F01-R02,BLK-B,fan,10,75.0,True
BLK-B-F01-R02-AC,BLK-B-F01-R02,BLK-B,ac,2,1650.0,True
BLK-B-F01-R02-PROJECTOR,BLK-B-F01-R02,BLK-B,projector,1,260.0,True
BLK-B-F01-R03-LIGHT,BLK-B-F01-R03,BLK-B,light,20,28.0,True
BLK-B-F01-R03-FAN,BLK-B-F01-R03,BLK-B,fan,10,75.0,True
BLK-B-F01-R03-AC,BLK-B-F01-R03,BLK-B,ac,2,1650.0,True
BLK-B-F01-R03-COMPUTER,BLK-B-F01-R03,BLK-B,computer,3,180.0,True
BLK-B-F01-R03-PROJECTOR,BLK-B-F01-R03,BLK-B,projector,1,260.0,True
BLK-B-F02-R01-LIGHT,BLK-B-F02-R01,BLK-B,light,14,28.0,True
BLK-B-F02-R01-FAN,BLK-B-F02-R01,BLK-B,fan,7,75.0,True
BLK-B-F02-R01-AC,BLK-B-F02-R01,BLK-B,ac,1,1650.0,True
BLK-B-F02-R01-COMPUTER,BLK-B-F02-R01,BLK-B,computer,2,180.0,True
BLK-B-F02-R01-PROJECTOR,BLK-B-F02-R01,BLK-B,projector,1,260.0,True
BLK-B-F02-R02-LIGHT,BLK-B-F02-R02,BLK-B,light,14,28.0,True
BLK-B-F02-R02-FAN,BLK-B-F02-R02,BLK-B,fan,7,75.0,True
BLK-B-F02-R02-AC,BLK-B-F02-R02,BLK-B,ac,1,1650.0,True
BLK-B-F02-R02-COMPUTER,BLK-B-F02-R02,BLK-B,computer,3,180.0,True
BLK-B-F02-R02-PROJECTOR,BLK-B-F02-R02,BLK-B,projector,1,260.0,True
BLK-B-F02-R03-LIGHT,BLK-B-F02-R03,BLK-B,light,18,28.0,True
BLK-B-F02-R03-FAN,BLK-B-F02-R03,BLK-B,fan,9,75.0,True
BLK-B-F02-R03-AC,BLK-B-F02-R03,BLK-B,ac,2,1650.0,True
BLK-B-F02-R03-COMPUTER,BLK-B-F02-R03,BLK-B,computer,1,180.0,True
BLK-B-F02-R03-PROJECTOR,BLK-B-F02-R03,BLK-B,projector,1,260.0,True
BLK-B-F03-R01-LIGHT,BLK-B-F03-R01,BLK-B,light,13,28.0,True
BLK-B-F03-R01-FAN,BLK-B-F03-R01,BLK-B,fan,6,75.0,True
BLK-B-F03-R01-AC,BLK-B-F03-R01,BLK-B,ac,1,1650.0,True
BLK-B-F03-R01-COMPUTER,BLK-B-F03-R01,BLK-B,computer,3,180.0,True
BLK-B-F03-R01-PROJECTOR,BLK-B-F03-R01,BLK-B,projector,1,260.0,True
BLK-B-F03-R02-LIGHT,BLK-B-F03-R02,BLK-B,light,16,28.0,True
BLK-B-F03-R02-FAN,BLK-B-F03-R02,BLK-B,fan,8,75.0,True
BLK-B-F03-R02-AC,BLK-B-F03-R02,BLK-B,ac,1,1650.0,True
BLK-B-F03-R02-COMPUTER,BLK-B-F03-R02,BLK-B,computer,3,180.0,True
BLK-B-F03-R02-PROJECTOR,BLK-B-F03-R02,BLK-B,projector,1,260.0,True
BLK-B-F03-R03-LIGHT,BLK-B-F03-R03,BLK-B,light,18,28.0,True
BLK-B-F03-R03-FAN,BLK-B-F03-R03,BLK-B,fan,9,75.0,True
BLK-B-F03-R03-AC,BLK-B-F03-R03,BLK-B,ac,2,1650.0,True
BLK-B-F03-R03-COMPUTER,BLK-B-F03-R03,BLK-B,computer,3,180.0,True
BLK-B-F03-R03-PROJECTOR,BLK-B-F03-R03,BLK-B,projector,1,260.0,True
BLK-B-F04-R01-LIGHT,BLK-B-F04-R01,BLK-B,light,19,28.0,True
BLK-B-F04-R01-FAN,BLK-B-F04-R01,BLK-B,fan,10,75.0,True
BLK-B-F04-R01-AC,BLK-B-F04-R01,BLK-B,ac,2,1650.0,True
BLK-B-F04-R01-PROJECTOR,BLK-B-F04-R01,BLK-B,projector,1,260.0,True
BLK-B-F04-R02-LIGHT,BLK-B-F04-R02,BLK-B,light,15,28.0,True
BLK-B-F04-R02-FAN,BLK-B-F04-R02,BLK-B,fan,8,75.0,True
BLK-B-F04-R02-AC,BLK-B-F04-R02,BLK-B,ac,1,1650.0,True
BLK-B-F04-R02-COMPUTER,BLK-B-F04-R02,BLK-B,computer,1,180.0,True
BLK-B-F04-R02-PROJECTOR,BLK-B-F04-R02,BLK-B,projector,1,260.0,True
BLK-B-F04-R03-LIGHT,BLK-B-F04-R03,BLK-B,light,16,28.0,True
BLK-B-F04-R03-FAN,BLK-B-F04-R03,BLK-B,fan,8,75.0,True
BLK-B-F04-R03-AC,BLK-B-F04-R03,BLK-B,ac,1,1650.0,True
BLK-B-F04-R03-PROJECTOR,BLK-B-F04-R03,BLK-B,projector,1,260.0,True
BLK-C-F01-R01-LIGHT,BLK-C-F01-R01,BLK-C,light,20,28.0,True
BLK-C-F01-R01-FAN,BLK-C-F01-R01,BLK-C,fan,10,75.0,True
BLK-C-F01-R01-AC,BLK-C-F01-R01,BLK-C,ac,2,1650.0,True
BLK-C-F01-R01-PROJECTOR,BLK-C-F01-R01,BLK-C,projector,1,260.0,True
BLK-C-F01-R02-LIGHT,BLK-C-F01-R02,BLK-C,light,22,28.0,True
BLK-C-F01-R02-FAN,BLK-C-F01-R02,BLK-C,fan,11,75.0,True
BLK-C-F01-R02-AC,BLK-C-F01-R02,BLK-C,ac,2,1650.0,True
BLK-C-F01-R02-COMPUTER,BLK-C-F01-R02,BLK-C,computer,1,180.0,True
BLK-C-F01-R02-PROJECTOR,BLK-C-F01-R02,BLK-C,projector,1,260.0,True
BLK-C-F01-R03-LIGHT,BLK-C-F01-R03,BLK-C,light,24,28.0,True
BLK-C-F01-R03-FAN,BLK-C-F01-R03,BLK-C,fan,12,75.0,True
BLK-C-F01-R03-AC,BLK-C-F01-R03,BLK-C,ac,2,1650.0,True
BLK-C-F01-R03-COMPUTER,BLK-C-F01-R03,BLK-C,computer,1,180.0,True
BLK-C-F01-R03-PROJECTOR,BLK-C-F01-R03,BLK-C,projector,1,260.0,True
BLK-C-F02-R01-LIGHT,BLK-C-F02-R01,BLK-C,light,17,28.0,True
BLK-C-F02-R01-FAN,BLK-C-F02-R01,BLK-C,fan,9,75.0,True
BLK-C-F02-R01-AC,BLK-C-F02-R01,BLK-C,ac,2,1650.0,True
BLK-C-F02-R01-COMPUTER,BLK-C-F02-R01,BLK-C,computer,1,180.0,True
BLK-C-F02-R01-PROJECTOR,BLK-C-F02-R01,BLK-C,projector,1,260.0,True
BLK-C-F02-R02-LIGHT,BLK-C-F02-R02,BLK-C,light,18,28.0,True
BLK-C-F02-R02-FAN,BLK-C-F02-R02,BLK-C,fan,9,75.0,True
BLK-C-F02-R02-AC,BLK-C-F02-R02,BLK-C,ac,2,1650.0,True
BLK-C-F02-R02-PROJECTOR,BLK-C-F02-R02,BLK-C,projector,1,260.0,True
BLK-C-F02-R03-LIGHT,BLK-C-F02-R03,BLK-C,light,24,28.0,True
BLK-C-F02-R03-FAN,BLK-C-F02-R03,BLK-C,fan,12,75.0,True
BLK-C-F02-R03-AC,BLK-C-F02-R03,BLK-C,ac,2,1650.0,True
BLK-C-F02-R03-PROJECTOR,BLK-C-F02-R03,BLK-C,projector,1,260.0,True
BLK-C-F03-R01-LIGHT,BLK-C-F03-R01,BLK-C,light,14,28.0,True
BLK-C-F03-R01-FAN,BLK-C-F03-R01,BLK-C,fan,7,75.0,True
BLK-C-F03-R01-AC,BLK-C-F03-R01,BLK-C,ac,1,1650.0,True
BLK-C-F03-R01-PROJECTOR,BLK-C-F03-R01,BLK-C,projector,1,260.0,True
BLK-C-F03-R02-LIGHT,BLK-C-F03-R02,BLK-C,light,23,28.0,True
BLK-C-F03-R02-FAN,BLK-C-F03-R02,BLK-C,fan,11,75.0,True
BLK-C-F03-R02-AC,BLK-C-F03-R02,BLK-C,ac,2,1650.0,True
BLK-C-F03-R02-PROJECTOR,BLK-C-F03-R02,BLK-C,projector,1,260.0,True
BLK-C-F03-R03-LIGHT,BLK-C-F03-R03,BLK-C,light,19,28.0,True
BLK-C-F03-R03-FAN,BLK-C-F03-R03,BLK-C,fan,9,75.0,True
BLK-C-F03-R03-AC,BLK-C-F03-R03,BLK-C,ac,2,1650.0,True
BLK-C-F03-R03-PROJECTOR,BLK-C-F03-R03,BLK-C,projector,1,260.0,True
LAB-CSE-F01-R01-LIGHT,LAB-CSE-F01-R01,LAB-CSE,light,24,28.0,True
LAB-CSE-F01-R01-FAN,LAB-CSE-F01-R01,LAB-CSE,fan,7,75.0,True
LAB-CSE-F01-R01-AC,LAB-CSE-F01-R01,LAB-CSE,ac,2,1650.0,True
LAB-CSE-F01-R01-COMPUTER,LAB-CSE-F01-R01,LAB-CSE,computer,55,180.0,True
LAB-CSE-F01-R01-PROJECTOR,LAB-CSE-F01-R01,LAB-CSE,projector,1,260.0,True
LAB-CSE-F01-R02-LIGHT,LAB-CSE-F01-R02,LAB-CSE,light,20,28.0,True
LAB-CSE-F01-R02-FAN,LAB-CSE-F01-R02,LAB-CSE,fan,6,75.0,True
LAB-CSE-F01-R02-AC,LAB-CSE-F01-R02,LAB-CSE,ac,1,1650.0,True
LAB-CSE-F01-R02-COMPUTER,LAB-CSE-F01-R02,LAB-CSE,computer,47,180.0,True
LAB-CSE-F01-R02-PROJECTOR,LAB-CSE-F01-R02,LAB-CSE,projector,1,260.0,True
LAB-CSE-F01-R03-LIGHT,LAB-CSE-F01-R03,LAB-CSE,light,22,28.0,True
LAB-CSE-F01-R03-FAN,LAB-CSE-F01-R03,LAB-CSE,fan,7,75.0,True
LAB-CSE-F01-R03-AC,LAB-CSE-F01-R03,LAB-CSE,ac,2,1650.0,True
LAB-CSE-F01-R03-COMPUTER,LAB-CSE-F01-R03,LAB-CSE,computer,61,180.0,True
LAB-CSE-F01-R03-PROJECTOR,LAB-CSE-F01-R03,LAB-CSE,projector,1,260.0,True
LAB-CSE-F02-R01-LIGHT,LAB-CSE-F02-R01,LAB-CSE,light,27,28.0,True
LAB-CSE-F02-R01-FAN,LAB-CSE-F02-R01,LAB-CSE,fan,8,75.0,True
LAB-CSE-F02-R01-AC,LAB-CSE-F02-R01,LAB-CSE,ac,2,1650.0,True
LAB-CSE-F02-R01-COMPUTER,LAB-CSE-F02-R01,LAB-CSE,computer,53,180.0,True
LAB-CSE-F02-R01-PROJECTOR,LAB-CSE-F02-R01,LAB-CSE,projector,1,260.0,True
LAB-CSE-F02-R02-LIGHT,LAB-CSE-F02-R02,LAB-CSE,light,18,28.0,True
LAB-CSE-F02-R02-FAN,LAB-CSE-F02-R02,LAB-CSE,fan,5,75.0,True
LAB-CSE-F02-R02-AC,LAB-CSE-F02-R02,LAB-CSE,ac,1,1650.0,True
LAB-CSE-F02-R02-COMPUTER,LAB-CSE-F02-R02,LAB-CSE,computer,66,180.0,True
LAB-CSE-F02-R02-PROJECTOR,LAB-CSE-F02-R02,LAB-CSE,projector,1,260.0,True
LAB-CSE-F02-R03-LIGHT,LAB-CSE-F02-R03,LAB-CSE,light,23,28.0,True
LAB-CSE-F02-R03-FAN,LAB-CSE-F02-R03,LAB-CSE,fan,7,75.0,True
LAB-CSE-F02-R03-AC,LAB-CSE-F02-R03,LAB-CSE,ac,2,1650.0,True
LAB-CSE-F02-R03-COMPUTER,LAB-CSE-F02-R03,LAB-CSE,computer,62,180.0,True
LAB-CSE-F02-R03-PROJECTOR,LAB-CSE-F02-R03,LAB-CSE,projector,1,260.0,True
LAB-CSE-F03-R01-LIGHT,LAB-CSE-F03-R01,LAB-CSE,light,17,28.0,True
LAB-CSE-F03-R01-FAN,LAB-CSE-F03-R01,LAB-CSE,fan,5,75.0,True
LAB-CSE-F03-R01-AC,LAB-CSE-F03-R01,LAB-CSE,ac,1,1650.0,True
LAB-CSE-F03-R01-COMPUTER,LAB-CSE-F03-R01,LAB-CSE,computer,49,180.0,True
LAB-CSE-F03-R01-PROJECTOR,LAB-CSE-F03-R01,LAB-CSE,projector,1,260.0,True
LAB-CSE-F03-R02-LIGHT,LAB-CSE-F03-R02,LAB-CSE,light,25,28.0,True
LAB-CSE-F03-R02-FAN,LAB-CSE-F03-R02,LAB-CSE,fan,8,75.0,True
LAB-CSE-F03-R02-AC,LAB-CSE-F03-R02,LAB-CSE,ac,2,1650.0,True
LAB-CSE-F03-R02-COMPUTER,LAB-CSE-F03-R02,LAB-CSE,computer,66,180.0,True
LAB-CSE-F03-R02-PROJECTOR,LAB-CSE-F03-R02,LAB-CSE,projector,1,260.0,True
LAB-CSE-F03-R03-LIGHT,LAB-CSE-F03-R03,LAB-CSE,light,21,28.0,True
LAB-CSE-F03-R03-FAN,LAB-CSE-F03-R03,LAB-CSE,fan,6,75.0,True
LAB-CSE-F03-R03-AC,LAB-CSE-F03-R03,LAB-CSE,ac,2,1650.0,True
LAB-CSE-F03-R03-COMPUTER,LAB-CSE-F03-R03,LAB-CSE,computer,65,180.0,True
LAB-CSE-F03-R03-PROJECTOR,LAB-CSE-F03-R03,LAB-CSE,projector,1,260.0,True
LIB-F01-R01-LIGHT,LIB-F01-R01,LIB,light,41,28.0,True
LIB-F01-R01-FAN,LIB-F01-R01,LIB,fan,21,75.0,True
LIB-F01-R01-AC,LIB-F01-R01,LIB,ac,2,1650.0,True
LIB-F01-R01-COMPUTER,LIB-F01-R01,LIB,computer,22,180.0,True
LIB-F01-R02-LIGHT,LIB-F01-R02,LIB,light,42,28.0,True
LIB-F01-R02-FAN,LIB-F01-R02,LIB,fan,21,75.0,True
LIB-F01-R02-AC,LIB-F01-R02,LIB,ac,2,1650.0,True
LIB-F01-R02-COMPUTER,LIB-F01-R02,LIB,computer,20,180.0,True
LIB-F02-R01-LIGHT,LIB-F02-R01,LIB,light,28,28.0,True
LIB-F02-R01-FAN,LIB-F02-R01,LIB,fan,14,75.0,True
LIB-F02-R01-AC,LIB-F02-R01,LIB,ac,2,1650.0,True
LIB-F02-R01-COMPUTER,LIB-F02-R01,LIB,computer,31,180.0,True
LIB-F02-R02-LIGHT,LIB-F02-R02,LIB,light,36,28.0,True
LIB-F02-R02-FAN,LIB-F02-R02,LIB,fan,18,75.0,True
LIB-F02-R02-AC,LIB-F02-R02,LIB,ac,2,1650.0,True
LIB-F02-R02-COMPUTER,LIB-F02-R02,LIB,computer,15,180.0,True
LIB-F03-R01-LIGHT,LIB-F03-R01,LIB,light,41,28.0,True
LIB-F03-R01-FAN,LIB-F03-R01,LIB,fan,20,75.0,True
LIB-F03-R01-AC,LIB-F03-R01,LIB,ac,2,1650.0,True
LIB-F03-R01-COMPUTER,LIB-F03-R01,LIB,computer,17,180.0,True
LIB-F03-R02-LIGHT,LIB-F03-R02,LIB,light,40,28.0,True
LIB-F03-R02-FAN,LIB-F03-R02,LIB,fan,20,75.0,True
LIB-F03-R02-AC,LIB-F03-R02,LIB,ac,2,1650.0,True
LIB-F03-R02-COMPUTER,LIB-F03-R02,LIB,computer,12,180.0,True
HST-B-F01-R01-LIGHT,HST-B-F01-R01,HST-B,light,11,28.0,True
HST-B-F01-R01-FAN,HST-B-F01-R01,HST-B,fan,11,75.0,True
HST-B-F01-R01-COMPUTER,HST-B-F01-R01,HST-B,computer,3,180.0,True
HST-B-F01-R02-LIGHT,HST-B-F01-R02,HST-B,light,11,28.0,True
HST-B-F01-R02-FAN,HST-B-F01-R02,HST-B,fan,11,75.0,True
HST-B-F01-R02-COMPUTER,HST-B-F01-R02,HST-B,computer,2,180.0,True
HST-B-F01-R03-LIGHT,HST-B-F01-R03,HST-B,light,9,28.0,True
HST-B-F01-R03-FAN,HST-B-F01-R03,HST-B,fan,9,75.0,True
HST-B-F01-R03-COMPUTER,HST-B-F01-R03,HST-B,computer,2,180.0,True
HST-B-F01-R04-LIGHT,HST-B-F01-R04,HST-B,light,9,28.0,True
HST-B-F01-R04-FAN,HST-B-F01-R04,HST-B,fan,9,75.0,True
HST-B-F01-R04-COMPUTER,HST-B-F01-R04,HST-B,computer,3,180.0,True
HST-B-F02-R01-LIGHT,HST-B-F02-R01,HST-B,light,10,28.0,True
HST-B-F02-R01-FAN,HST-B-F02-R01,HST-B,fan,10,75.0,True
HST-B-F02-R01-COMPUTER,HST-B-F02-R01,HST-B,computer,1,180.0,True
HST-B-F02-R02-LIGHT,HST-B-F02-R02,HST-B,light,10,28.0,True
HST-B-F02-R02-FAN,HST-B-F02-R02,HST-B,fan,10,75.0,True
HST-B-F02-R02-COMPUTER,HST-B-F02-R02,HST-B,computer,2,180.0,True
HST-B-F02-R03-LIGHT,HST-B-F02-R03,HST-B,light,8,28.0,True
HST-B-F02-R03-FAN,HST-B-F02-R03,HST-B,fan,8,75.0,True
HST-B-F02-R04-LIGHT,HST-B-F02-R04,HST-B,light,9,28.0,True
HST-B-F02-R04-FAN,HST-B-F02-R04,HST-B,fan,9,75.0,True
HST-B-F03-R01-LIGHT,HST-B-F03-R01,HST-B,light,9,28.0,True
HST-B-F03-R01-FAN,HST-B-F03-R01,HST-B,fan,9,75.0,True
HST-B-F03-R01-COMPUTER,HST-B-F03-R01,HST-B,computer,2,180.0,True
HST-B-F03-R02-LIGHT,HST-B-F03-R02,HST-B,light,10,28.0,True
HST-B-F03-R02-FAN,HST-B-F03-R02,HST-B,fan,10,75.0,True
HST-B-F03-R02-COMPUTER,HST-B-F03-R02,HST-B,computer,1,180.0,True
HST-B-F03-R03-LIGHT,HST-B-F03-R03,HST-B,light,11,28.0,True
HST-B-F03-R03-FAN,HST-B-F03-R03,HST-B,fan,11,75.0,True
HST-B-F03-R03-COMPUTER,HST-B-F03-R03,HST-B,computer,2,180.0,True
HST-B-F03-R04-LIGHT,HST-B-F03-R04,HST-B,light,8,28.0,True
HST-B-F03-R04-FAN,HST-B-F03-R04,HST-B,fan,8,75.0,True
HST-B-F03-R04-COMPUTER,HST-B-F03-R04,HST-B,computer,3,180.0,True
HST-B-F04-R01-LIGHT,HST-B-F04-R01,HST-B,light,10,28.0,True
HST-B-F04-R01-FAN,HST-B-F04-R01,HST-B,fan,10,75.0,True
HST-B-F04-R01-COMPUTER,HST-B-F04-R01,HST-B,computer,2,180.0,True
HST-B-F04-R02-LIGHT,HST-B-F04-R02,HST-B,light,10,28.0,True
HST-B-F04-R02-FAN,HST-B-F04-R02,HST-B,fan,10,75.0,True
HST-B-F04-R02-COMPUTER,HST-B-F04-R02,HST-B,computer,2,180.0,True
HST-B-F04-R03-LIGHT,HST-B-F04-R03,HST-B,light,8,28.0,True
HST-B-F04-R03-FAN,HST-B-F04-R03,HST-B,fan,8,75.0,True
HST-B-F04-R03-COMPUTER,HST-B-F04-R03,HST-B,computer,2,180.0,True
HST-B-F04-R04-LIGHT,HST-B-F04-R04,HST-B,light,11,28.0,True
HST-B-F04-R04-FAN,HST-B-F04-R04,HST-B,fan,11,75.0,True
HST-B-F04-R04-COMPUTER,HST-B-F04-R04,HST-B,computer,1,180.0,True
HST-G-F01-R01-LIGHT,HST-G-F01-R01,HST-G,light,9,28.0,True
HST-G-F01-R01-FAN,HST-G-F01-R01,HST-G,fan,9,75.0,True
HST-G-F01-R02-LIGHT,HST-G-F01-R02,HST-G,light,8,28.0,True
HST-G-F01-R02-FAN,HST-G-F01-R02,HST-G,fan,8,75.0,True
HST-G-F01-R02-COMPUTER,HST-G-F01-R02,HST-G,computer,1,180.0,True
HST-G-F01-R03-LIGHT,HST-G-F01-R03,HST-G,light,10,28.0,True
HST-G-F01-R03-FAN,HST-G-F01-R03,HST-G,fan,10,75.0,True
HST-G-F01-R04-LIGHT,HST-G-F01-R04,HST-G,light,8,28.0,True
HST-G-F01-R04-FAN,HST-G-F01-R04,HST-G,fan,8,75.0,True
HST-G-F01-R04-COMPUTER,HST-G-F01-R04,HST-G,computer,1,180.0,True
HST-G-F02-R01-LIGHT,HST-G-F02-R01,HST-G,light,10,28.0,True
HST-G-F02-R01-FAN,HST-G-F02-R01,HST-G,fan,10,75.0,True
HST-G-F02-R01-COMPUTER,HST-G-F02-R01,HST-G,computer,2,180.0,True
HST-G-F02-R02-LIGHT,HST-G-F02-R02,HST-G,light,7,28.0,True
HST-G-F02-R02-FAN,HST-G-F02-R02,HST-G,fan,7,75.0,True
HST-G-F02-R03-LIGHT,HST-G-F02-R03,HST-G,light,10,28.0,True
HST-G-F02-R03-FAN,HST-G-F02-R03,HST-G,fan,10,75.0,True
